gpu_type,model_name,num_servers,enable_prefix_caching,enable_chunked_prefill,benchmark_label,scheduler_strategy,min_output_len,max_output_len,max_concurrency,request_rate,with_warmup,disable_ignore_eos,max_conversations,num_prompts,duration,completed,request_throughput,input_throughput,output_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues,round_robin,10,200,40,100,False,False,10000,1000,65.4204,1000,15.2858,27200.9659,1558.734,224.4325,205.0075,110.1909,751.0971,23.2542,24.0427,5.0397,33.0019,24.0384,15.84,28.7082,115.7644,2538.6711,2416.9327
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues,round_robin,10,200,40,100,False,False,10000,1000,64.7289,1000,15.4491,27491.5567,1575.3862,221.303,201.9648,106.2174,704.3353,23.131,23.8515,4.9424,32.6618,23.8032,16.394,28.231,113.5709,2515.8918,2365.0632
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues,round_robin,10,200,40,100,False,False,10000,1000,65.4535,1000,15.278,27187.2008,1557.9452,230.1549,210.9882,114.8048,768.2545,23.2942,23.9467,5.1461,34.0676,24.0395,16.9679,28.2669,114.88,2539.2279,2399.5322
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues,round_robin,10,200,40,100,False,False,10000,1000,64.3099,1000,15.5497,27670.6626,1585.6497,227.6118,208.4844,108.1983,706.0871,22.8689,23.5456,4.8674,31.8292,23.6167,17.1459,27.6845,109.9331,2497.2702,2351.372

L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues,pow_of_2,10,200,40,100,False,False,10000,1000,63.7422,1000,15.6882,27917.1046,1599.7719,248.1826,220.3148,116.8415,695.3692,22.4923,22.9266,4.945,32.0959,23.218,13.627,28.9216,116.5656,2478.7915,2346.7825
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues,pow_of_2,10,200,40,100,False,False,10000,1000,64.8555,1000,15.4189,27437.8971,1572.3112,240.9403,216.6965,121.7027,703.3917,23.0666,23.2983,5.0768,34.3203,23.6263,11.7849,30.1369,136.7725,2520.2783,2430.6885
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues,pow_of_2,10,200,40,100,False,False,10000,1000,65.4247,1000,15.2848,27199.1901,1558.6323,255.0653,232.2447,120.6165,732.8048,23.1022,23.445,5.0413,34.962,23.6895,13.7982,30.0203,136.9176,2533.257,2443.479
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues,pow_of_2,10,200,40,100,False,False,10000,1000,65.723,1000,15.2154,27075.7466,1551.5584,263.8753,241.4054,119.693,735.9286,23.2414,23.5659,5.0365,34.6995,23.8656,14.2494,30.0071,138.9968,2555.9217,2464.6869
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues,pow_of_2,10,200,40,100,False,False,10000,1000,65.1845,1000,15.3411,27299.4017,1564.3748,262.5991,235.0767,120.6628,699.9665,23.005,23.4934,5.1452,34.633,23.6118,14.5771,29.044,124.5288,2529.3252,2396.6604


L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,random,10,200,40,100,False,False,10000,1000,65.5107,1000,15.2647,27163.48,1556.5859,241.5924,208.8712,156.1069,979.8966,23.6406,23.5238,7.0755,46.2776,24.0419,12.5035,30.4253,125.5394,2543.76,2406.3345
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,random,10,200,40,100,False,False,10000,1000,66.0548,1000,15.1389,26939.7301,1543.7641,243.4699,217.2978,123.3992,714.1236,23.5218,23.6081,6.0463,38.4209,24.2054,13.7504,30.282,138.5618,2569.5565,2449.8841
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,random,10,200,40,100,False,False,10000,1000,66.8519,1000,14.9584,26618.4971,1525.356,255.3399,226.3491,134.203,764.4592,23.9446,23.7572,7.1268,43.4398,24.329,13.7854,30.666,145.9552,2591.4981,2437.0081
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,random,10,200,40,100,False,False,10000,1000,66.7791,1000,14.9747,26647.5329,1527.0199,247.2341,217.0622,133.08,764.8682,23.9497,23.3559,7.7544,43.0681,24.4115,14.2426,30.4855,142.1699,2588.4233,2464.9514
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,random,10,200,40,100,False,False,10000,1000,67.1177,1000,14.8992,26513.1112,1519.317,251.3019,225.0127,124.6477,763.4,24.0484,23.7236,6.6798,43.9684,24.5388,13.254,31.1779,147.8491,2608.2444,2481.2174

L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,round_robin,10,200,40,100,False,False,10000,1000,64.3034,1000,15.5513,27673.4477,1585.8093,210.0324,195.6747,102.6619,693.4736,22.9958,23.6573,4.8896,32.1918,23.8018,14.7438,28.9708,112.5812,2494.3518,2382.4652
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,round_robin,10,200,40,100,False,False,10000,1000,64.6943,1000,15.4573,27506.248,1576.228,214.9651,193.8531,110.9154,730.3366,23.1614,23.7072,5.1348,34.1118,23.9911,15.0026,28.7732,114.2259,2515.9639,2414.9643
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,round_robin,10,200,40,100,False,False,10000,1000,66.2305,1000,15.0988,26868.2394,1539.6674,219.1563,198.3647,108.2575,715.4015,23.5677,24.0921,5.0775,36.2862,24.3155,16.5379,29.5119,116.2965,2558.7197,2415.5654
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,round_robin,10,200,40,100,False,False,10000,1000,64.7148,1000,15.4524,27497.5508,1575.7296,215.9163,195.4914,107.3005,714.641,23.1524,23.779,4.9298,32.939,23.8971,14.9325,28.8817,113.0711,2513.8429,2369.2082
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,round_robin,10,200,40,100,False,False,10000,1000,65.6266,1000,15.2377,27115.5051,1553.8368,223.0682,203.9171,112.0728,786.3509,23.4136,24.0206,5.3087,34.5933,24.2683,15.769,29.2964,118.5271,2549.6297,2450.3092

L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,pow_of_2,10,200,40,100,False,False,10000,1000,65.039,1000,15.3754,27360.4716,1567.8744,246.195,220.0354,118.9158,722.5315,23.0151,23.3471,5.336,34.6808,23.6955,13.0026,29.8261,134.0594,2522.5205,2453.1747
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,pow_of_2,10,200,40,100,False,False,10000,1000,65.5259,1000,15.2611,27157.1838,1556.2251,260.0267,236.5437,118.8351,730.6017,23.0712,23.6169,5.0164,33.1821,23.844,13.2152,30.1595,140.3469,2543.7864,2406.3991
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,pow_of_2,10,200,40,100,False,False,10000,1000,66.2572,1000,15.0927,26857.4433,1539.0487,259.3172,234.7769,122.4081,741.0562,23.4491,23.8575,5.4845,38.046,24.0046,13.4932,30.5025,146.4406,2569.951,2430.7405
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,pow_of_2,10,200,40,100,False,False,10000,1000,65.4152,1000,15.287,27203.1437,1558.8588,250.453,230.1419,117.5945,702.8644,23.1771,23.512,5.1522,35.1423,23.7677,13.5936,29.7886,138.9826,2539.6064,2396.5394
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,pow_of_2,10,200,40,100,False,False,10000,1000,65.6532,1000,15.2316,27104.5263,1553.2076,254.2571,228.3668,124.8432,735.2896,23.1058,23.5124,5.1644,34.7693,23.7899,13.8441,30.2048,143.0593,2542.9744,2458.5261

L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,prefix_aware,10,200,40,100,False,False,10000,1000,57.6276,1000,17.3528,30879.2847,1769.5177,245.7811,227.536,109.4963,696.4342,20.1063,19.7536,4.5828,32.4593,20.5166,18.5008,24.2304,105.9969,2224.7681,2094.1539
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,prefix_aware,10,200,40,100,False,False,10000,1000,57.3285,1000,17.4433,31040.3996,1778.7503,241.8899,231.0768,106.0102,717.4145,20.0922,19.6036,4.8038,33.5012,20.5128,18.586,24.5823,105.9285,2217.9486,2098.8916
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,prefix_aware,10,200,40,100,False,False,10000,1000,57.7539,1000,17.3148,30811.7174,1765.6459,244.5416,226.5206,110.5793,712.4681,20.2636,19.8591,4.9432,33.3689,20.5527,18.0328,24.5946,107.0564,2229.9047,2129.139
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,prefix_aware,10,200,40,100,False,False,10000,1000,58.2901,1000,17.1556,30528.2986,1749.4047,252.8966,236.974,108.1751,705.156,20.2361,19.9102,4.5398,31.2731,20.5713,19.0458,24.3368,105.8099,2246.7157,2143.712
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree,prefix_aware,10,200,40,100,False,False,10000,1000,58.0442,1000,17.2283,30657.6587,1756.8176,250.6646,234.264,111.6791,732.0876,20.1717,19.86,4.6143,30.2289,20.6421,18.7831,24.6798,108.7784,2244.9909,2158.39


L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,random,10,200,40,100,False,False,10000,1000,66.7898,1000,14.9723,26643.2413,1526.774,257.4439,233.0861,137.2569,861.97,23.7158,23.3893,6.2378,41.8303,24.262,15.1261,30.0985,132.4565,2593.5612,2414.7234
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,random,10,200,40,100,False,False,10000,1000,68.8506,1000,14.5242,25845.789,1481.0765,272.9925,248.7758,131.6538,759.9591,24.3577,24.0188,6.2542,40.6149,24.9979,16.9438,30.1903,123.7646,2677.1917,2534.117
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,random,10,200,40,100,False,False,10000,1000,69.0791,1000,14.4762,25760.2956,1476.1773,247.5008,217.6299,127.49,714.7437,24.7132,24.8941,6.5715,43.4449,25.3445,15.9739,30.7493,136.8614,2680.4171,2465.2967
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,random,10,200,40,100,False,False,10000,1000,69.3928,1000,14.4107,25643.8554,1469.5048,271.7392,239.7599,137.7041,830.0884,24.8034,24.3736,7.4397,50.4899,25.2814,15.9754,31.2245,140.0831,2695.462,2559.4301
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,random,10,200,40,100,False,False,10000,1000,69.0073,1000,14.4912,25787.0898,1477.7128,269.8286,243.5019,135.4545,835.7639,24.5716,23.6702,7.2704,44.9977,25.1743,16.1413,30.9126,141.24,2689.8222,2540.6311
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,random,10,200,40,100,False,False,10000,1000,68.7375,1000,14.5481,25888.33,1483.5143,235.9181,200.4289,127.4737,773.5747,24.7013,24.4624,6.9042,42.7911,25.2704,13.1131,31.3464,142.3004,2666.5169,2562.734
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,random,10,200,40,100,False,False,10000,1000,68.2952,1000,14.6423,26055.9793,1493.1213,270.1794,241.8273,132.6718,814.3236,24.4298,24.1719,6.8318,46.4324,24.8417,15.9467,30.2972,120.3476,2656.0989,2557.9739
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,probe_queues_and_hardcode_tree_and_query_metrics,random,10,200,40,100,False,False,10000,1000,69.646,1000,14.3583,25550.6141,1464.1617,275.105,246.3208,152.4333,960.8558,24.8353,24.5715,7.4158,48.7995,25.2868,15.9516,30.7528,140.9831,2701.1988,2581.8747

