request_id,client_prefix_start_timestamp,client_prefix_end_timestamp,client_insert_start_timestamp,client_insert_end_timestamp,prefix_match_total_duration,insert_total_duration,total_request_time_duration
30,1744670945.5673268,1744670945.5698202,1744670945.5699794,1744670945.5722535,0.0024933815002441406,0.002274036407470703,0.0049266815185546875
31,1744670945.5725975,1744670945.574998,1744670945.5750604,1744670945.5772817,0.0024003982543945312,0.002221345901489258,0.0046842098236083984
32,1744670945.5777047,1744670945.5800114,1744670945.5800743,1744670945.5825508,0.002306699752807617,0.0024764537811279297,0.004846096038818359
33,1744670945.582926,1744670945.5851436,1744670945.585204,1744670945.5874777,0.002217531204223633,0.0022737979888916016,0.00455164909362793
34,1744670945.5879173,1744670945.5904608,1744670945.590609,1744670945.5929198,0.0025434494018554688,0.0023107528686523438,0.005002498626708984
35,1744670945.5934062,1744670945.5957444,1744670945.5958877,1744670945.598236,0.0023381710052490234,0.0023484230041503906,0.004829883575439453
36,1744670945.5987198,1744670945.6008866,1744670945.6009524,1744670945.6033032,0.002166748046875,0.0023508071899414062,0.0045833587646484375
37,1744670945.6037436,1744670945.6076374,1744670945.6077058,1744670945.6102185,0.0038938522338867188,0.002512693405151367,0.006474971771240234
38,1744670945.6106539,1744670945.61296,1744670945.613094,1744670945.6155174,0.002306222915649414,0.0024232864379882812,0.0048635005950927734
39,1744670945.6159604,1744670945.618515,1744670945.6189296,1744670945.6215615,0.002554655075073242,0.0026319026947021484,0.005601167678833008
40,1744670945.6219182,1744670945.6242197,1744670945.6242936,1744670945.6265352,0.002301454544067383,0.0022416114807128906,0.004616975784301758
41,1744670945.626909,1744670945.6291323,1744670945.6291952,1744670945.6314602,0.0022232532501220703,0.0022649765014648438,0.0045511722564697266
42,1744670945.6318085,1744670945.6340585,1744670945.6341288,1744670945.6365616,0.0022499561309814453,0.0024328231811523438,0.00475311279296875
43,1744670945.6369083,1744670945.6391335,1744670945.6392088,1744670945.6413484,0.002225160598754883,0.002139568328857422,0.0044400691986083984
44,1744670945.6417038,1744670945.6441565,1744670945.6442175,1744670945.6463935,0.0024526119232177734,0.002176046371459961,0.004689693450927734
45,1744670945.646757,1744670945.6488087,1744670945.6488676,1744670945.6509986,0.002051830291748047,0.0021309852600097656,0.0042417049407958984
46,1744670945.6513343,1744670945.6534436,1744670945.6535022,1744670945.6556466,0.0021092891693115234,0.002144336700439453,0.004312276840209961
47,1744670945.6559925,1744670945.6582456,1744670945.6583147,1744670945.6605604,0.0022530555725097656,0.002245664596557617,0.004567861557006836
