request_id,before_calling_prefix_match_timestamp,received_by_prefix_match_timestamp,completed_prefix_match_timestamp,after_calling_prefix_match_timestamp,before_calling_insert_timestamp,after_calling_insert_timestamp,received_by_insert_timestamp,completed_insert_timestamp,prefix_match_client_to_server_duration,prefix_match_processing_duration,prefix_match_server_to_client_duration,prefix_match_total_duration,insert_client_to_server_duration,insert_processing_duration,insert_server_to_client_duration,insert_total_duration,total_request_time_duration
189,1744654764.2515728,1744654764.2557235,1744654764.2558293,1744654764.258713,1744654764.2595387,1744654764.2607384,1744654764.2628112,1744654764.2629027,0.0049898624420166016,9.942054748535156e-05,0.004269599914550781,0.009358882904052734,0.003272533416748047,9.1552734375e-05,-0.0021643638610839844,0.0011997222900390625,0.012614250183105469
190,1744654764.2958543,1744654764.3008442,1744654764.3009436,1744654764.3052132,1744654764.3059363,1744654764.3084686,1744654764.3125217,1744654764.3126128,0.0052874088287353516,9.72747802734375e-05,0.00660252571105957,0.01198720932006836,0.006585359573364258,9.107589721679688e-05,-0.004144191741943359,0.0025322437286376953,0.017189741134643555
191,1744654764.323968,1744654764.3292553,1744654764.3293526,1744654764.3359551,1744654764.3372345,1744654764.3411577,1744654764.3447523,1744654764.344885,0.001741170883178711,8.845329284667969e-05,0.0007205009460449219,0.0025501251220703125,0.007517814636230469,0.0001327991485595703,-0.003727436065673828,0.003923177719116211,0.0029664039611816406
192,1744654764.3652315,1744654764.3669727,1744654764.3670611,1744654764.3677816,1744654764.3678539,1744654764.368198,1744654764.369887,1744654764.3699713,0.008322954177856445,0.000110626220703125,0.010638236999511719,0.01907181739807129,0.002033233642578125,8.416175842285156e-05,-0.0017733573913574219,0.0003440380096435547,0.025736331939697266
193,1744654764.558963,1744654764.567286,1744654764.5673966,1744654764.5780349,1744654764.5799143,1744654764.5846994,1744654764.5872786,1744654764.5873952,0.005015134811401367,0.0001518726348876953,0.006584882736206055,0.011751890182495117,0.0073642730712890625,0.00011658668518066406,-0.002695798873901367,0.004785060882568359,0.014738798141479492
194,1744654764.6361818,1744654764.641197,1744654764.6413488,1744654764.6479337,1744654764.6487617,1744654764.6509206,1744654764.654444,1744654764.6545424,0.015401840209960938,0.0005435943603515625,0.011353254318237305,0.027298688888549805,0.005682229995727539,9.846687316894531e-05,-0.003621816635131836,0.0021588802337646484,0.030905961990356445
195,1744654764.6751947,1744654764.6905966,1744654764.6911402,1744654764.7024934,1744654764.7036107,1744654764.7061007,1744654764.7102933,1744654764.7108784,0.011502742767333984,0.0004558563232421875,0.010393619537353516,0.022352218627929688,0.006682634353637695,0.0005850791931152344,-0.004777669906616211,0.0024900436401367188,0.026506662368774414
196,1744654764.758177,1744654764.7696798,1744654764.7701356,1744654764.7805293,1744654764.7817216,1744654764.7846837,1744654764.788318,1744654764.7887816,0.0076482295989990234,0.00012159347534179688,0.004787921905517578,0.012557744979858398,0.00659632682800293,0.00046372413635253906,-0.004097938537597656,0.0029621124267578125,0.017634153366088867
197,1744654764.8144536,1744654764.8221018,1744654764.8222234,1744654764.8270113,1744654764.8278422,1744654764.8320878,1744654764.8363528,1744654764.836501,0.003244638442993164,0.0004992485046386719,0.0008311271667480469,0.004575014114379883,0.008510589599609375,0.0001480579376220703,-0.004413127899169922,0.0042455196380615234,0.005011320114135742
198,1744654764.8979964,1744654764.901241,1744654764.9017403,1744654764.9025714,1744654764.9026642,1744654764.9030077,1744654764.9046304,1744654764.905061,0.0018334388732910156,0.0006103515625,0.0008552074432373047,0.0032989978790283203,0.001966238021850586,0.0004305839538574219,-0.0020532608032226562,0.00034356117248535156,0.004503965377807617
